indicator,Type of disaster,Indicator,Country__ESTANDAR,Years__ESTANDAR,value,unit,notes_ids,source_id
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,1991,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,1993,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,1994,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,1996,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,1999,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2001,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2002,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2003,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2004,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2005,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2007,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2008,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2010,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2011,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2012,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2015,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2018,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Costa Rica,2021,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,1990,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,1992,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,1993,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,1994,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,1995,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,1996,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,1997,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2000,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2002,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2003,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2006,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2007,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2008,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2012,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2013,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2015,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,1990,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,1993,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,1994,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,1995,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,1996,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,1999,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2002,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2003,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2005,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2006,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2007,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2008,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2010,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2011,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2014,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2016,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2017,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2018,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2020,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Jamaica,1991,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Jamaica,1993,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Jamaica,2002,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Jamaica,2006,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,1991,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,1993,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,1996,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2002,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2003,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2004,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2005,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2007,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2009,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2010,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2011,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2012,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2013,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2014,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2015,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2016,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2018,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Saint Vincent and the Grenadines,1992,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Saint Vincent and the Grenadines,2011,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Saint Vincent and the Grenadines,2013,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Saint Vincent and the Grenadines,2016,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Saint Lucia,2010,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Saint Lucia,2013,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Trinidad and Tobago,1993,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Trinidad and Tobago,1996,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Trinidad and Tobago,2018,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Wet mass desplacement,Number of events,Costa Rica,2000,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Wet mass desplacement,Number of events,Saint Lucia,1996,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Wet mass desplacement,Number of events,Trinidad and Tobago,2004,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Barbados,2010,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Costa Rica,1994,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Costa Rica,1998,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Costa Rica,2015,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Costa Rica,2018,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Cuba,1993,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Cuba,1998,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Cuba,2000,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Cuba,2004,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Cuba,2015,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Grenada,2010,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,1994,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,1997,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,2000,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,2001,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,2002,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,2004,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,2009,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,2012,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,2014,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Honduras,2018,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Jamaica,2000,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Jamaica,2014,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Saint Vincent and the Grenadines,2010,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Saint Lucia,2010,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Droughts,Number of events,Trinidad and Tobago,2010,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Wildfires,Number of events,Costa Rica,1992,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Wildfires,Number of events,Cuba,1999,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Wildfires,Number of events,Honduras,2000,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Wildfires,Number of events,Honduras,2021,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Wildfires,Number of events,Dominican Republic,2005,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2022,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2022,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Guadeloupe,2022,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Honduras,2022,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Dominican Republic,2022,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Costa Rica,2022,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Cuba,2022,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Guadeloupe,2022,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Honduras,2022,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Storms,Number of events,Dominican Republic,2022,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Cuba,2022,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Honduras,2022,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Floods,Number of events,Dominican Republic,2022,1,Number,,742
